ID,Name,description,lon,lat
104,Casa,NA,-75.3550970236329, 5.87296927279172
105,Casa,NA,-76.3124599969123, 1.7898707844082
106,Casa,NA,-76.3096611233274, 1.78895871973403
107,Casa,NA,-76.3090849709207, 1.78621242415452
108,Casa,NA,-75.3228784693541, 5.95792952486351
109,Casa,NA,-75.3229729543822, 5.95449522133829
110,Casa,NA,-75.3225643879797, 5.95507527730581
111,Casa,NA,-75.3229029684974, 5.957117289755
112,Casa,NA,-75.3262523811206, 5.95416691486244
113,Casa,NA,-75.3281357428754, 5.95522839631856
114,Casa,NA,-75.3283208542172, 5.9551799346507
115,Casa,NA,-75.3287419347733, 5.95606245243533
116,Casa,NA,-75.3243321205477, 5.95911163973805
117,Casa,NA,-75.3239522320318, 5.9592565027553
118,Casa,NA,-75.3246273915243, 5.95911651619309
